,KM Driven,Fuel Type,Transmission Type,Ownership,Price(in Lakhs),Brand,Model_Only,Car Age
0,60660,Diesel,Manual,1,2.79,Maruti,Swift,10
1,150000,Petrol,Manual,2,3.57,Maruti,Swift Dzire,6
2,48700,Diesel,Manual,2,11.63,Mahindra,XUV500,4
3,55800,Petrol,Manual,3,1.46,Maruti,OMNI E,10
4,49320,Petrol,Manual,1,1.79,Volkswagen,Vento,15
5,99790,Petrol,Manual,1,1.65,Maruti,Omni,9
6,86550,Petrol,Manual,1,1.5,Maruti,OMNI E,12
7,150000,Diesel,Manual,1,4.77,Tata,Hexa,8
8,47760,Petrol,Manual,1,9.87,Hyundai,Creta,5
9,15570,Electric,Auto,1,10.5,Tata,PUNCH EV,1
10,120000,Diesel,Manual,5,2.31,Hyundai,i20,14
11,96290,Petrol,Manual,3,1.41,Maruti,Alto 800,12
12,64530,Petrol,Manual,3,2.52,Maruti,Wagon R 1.0,14
13,92050,Petrol,Auto,3,2.23,Maruti,A Star,12
14,150000,Diesel,Manual,3,5.32,Maruti,Ciaz,10
15,140000,Petrol,Manual,2,4.1,Volkswagen,Polo,9
16,150000,Diesel,Manual,1,1.0,Tata,Indigo ECS,15
17,99150,Petrol,Manual,2,5.18,Maruti,Wagon R 1.0,8
18,140000,Diesel,Manual,3,5.14,Hyundai,Verna,10
19,120000,Petrol,Manual,3,6.19,Maruti,Ertiga,10
20,150000,Diesel,Manual,1,11.14,Hyundai,VENUE,5
21,99170,Petrol,Manual,4,3.21,Hyundai,Verna,12
22,100000,Diesel,Manual,1,8.5,Hyundai,Creta,8
23,120000,Petrol,Manual,2,2.5,Maruti,Wagon R 1.0,13
24,79290,Petrol,Auto,2,6.78,Honda,City,10
25,290000,Diesel,Manual,1,6.11,Honda,BR-V,9
26,72020,Petrol,Manual,1,8.5,Maruti,Dzire,3
27,68520,Petrol,Manual,1,5.5,Ford,FREESTYLE,4
28,110000,Diesel,Auto,3,5.09,BMW,X1,13
29,220000,Diesel,Auto,4,5.67,Hyundai,Santa Fe,11
30,62670,Diesel,Manual,4,5.65,Maruti,Vitara Brezza,8
31,190000,Diesel,Manual,2,1.69,Maruti,Ritz,14
32,110000,Petrol,Manual,3,1.99,Renault,Kwid,5
33,150000,Diesel,Manual,4,2.76,Maruti,Swift Dzire,11
34,53970,Petrol,Manual,2,4.2,Hyundai,Elite i20,8
35,51020,Petrol,Manual,2,2.33,Hyundai,i20,12
36,32000,Diesel,Manual,1,18.0,MG,HECTOR PLUS,2
37,110000,Petrol,Manual,3,1.59,Hyundai,i10,10
38,160000,Diesel,Manual,3,1.45,Volkswagen,Vento,13
39,160000,Diesel,Manual,4,1.35,Hyundai,i20,13
40,94550,Diesel,Manual,3,2.25,Mahindra,XUV500,13
41,79330,Diesel,Manual,2,2.91,Honda,Amaze,9
42,120000,Diesel,Manual,7,3.0,Maruti,Swift Dzire,11
43,120000,Petrol,Manual,2,1.29,Datsun,Redi Go,7
44,160000,Diesel,Manual,3,1.38,Renault,Duster,13
45,12050,Petrol,Manual,1,9.7,Maruti,Grand Vitara,1
46,93210,Petrol,Manual,1,3.09,Ford,Figo Aspire,9
47,140000,Petrol,Manual,3,2.2,Volkswagen,Polo,12
48,46430,Petrol,Manual,2,3.17,Maruti,Alto,6
49,98900,Diesel,Manual,4,1.91,Nissan,Terrano,11
50,160000,Petrol,Manual,1,1.75,Maruti,Alto 800,10
51,100000,Diesel,Manual,4,2.0,Nissan,Terrano,11
52,94580,Diesel,Manual,3,1.93,Mahindra,Xylo,12
53,100000,Petrol,Manual,3,1.0,Hyundai,Eon,13
54,79500,Diesel,Manual,3,1.75,Hyundai,Grand i10,11
55,78120,Diesel,Manual,1,2.69,Hyundai,Grand i10,12
56,70760,Petrol,Manual,1,7.47,Hyundai,Verna,6
57,91240,Petrol,Manual,3,0.98,Ford,Figo,14
58,91410,Petrol,Manual,1,2.19,Maruti,Swift,14
59,120000,Petrol,Manual,1,3.5,Volkswagen,Ameo,8
60,200000,Diesel,Manual,3,1.1,Hyundai,Verna,15
61,35750,Petrol,Manual,3,3.95,Maruti,Baleno,8
62,180000,Diesel,Manual,1,1.1,Maruti,Ritz,15
63,140000,Diesel,Manual,3,2.7,Maruti,Swift Dzire,12
64,4120,Petrol,Manual,1,6.12,Tata,PUNCH,1
65,17110,Petrol,Manual,1,5.0,Renault,TRIBER,6
66,80540,Petrol,Manual,2,3.86,Maruti,Baleno,9
67,75150,Petrol,Manual,3,2.57,Honda,Brio,11
68,100000,Petrol,Manual,1,7.2,Maruti,Vitara Brezza,4
69,92270,Diesel,Manual,2,3.2,Honda,City,11
70,140000,Petrol,Manual,3,1.04,Honda,City ZX,18
71,120000,Diesel,Manual,2,2.75,Toyota,Etios,11
72,100000,Petrol,Manual,2,1.42,Maruti,Wagon R 1.0,14
73,130000,Diesel,Manual,1,3.04,Maruti,Swift,12
74,16500,Petrol,Manual,1,3.4,Datsun,Redi Go,4
75,110000,Petrol,Manual,3,1.0,Maruti,Alto,14
76,51670,Diesel,Manual,1,6.56,Honda,Amaze,6
77,140000,Diesel,Manual,1,2.5,Renault,Lodgy,10
78,95090,Diesel,Manual,3,2.9,Maruti,Swift,11
79,56110,Diesel,Auto,1,19.0,Tata,Harrier,3
80,22750,Petrol,Auto,1,6.99,Honda,City,8
81,88040,Petrol,Manual,2,7.0,Hyundai,Creta,8
82,110000,Diesel,Manual,1,13.0,Tata,Harrier,4
83,76080,Diesel,Auto,1,3.23,Skoda,Superb,13
84,91080,Diesel,Manual,3,5.0,Mahindra,XUV500,10
85,120000,Diesel,Auto,2,7.5,Mahindra,XUV500,8
86,53980,Diesel,Manual,1,15.0,Tata,Harrier,3
87,75430,Petrol,Manual,1,9.2,Maruti,XL6,3
88,91160,Petrol,Manual,1,5.16,Renault,Kiger,4
89,66260,Petrol,Manual,1,4.24,Maruti,IGNIS,2
90,360000,Diesel,Manual,1,9.69,Toyota,Fortuner,13
91,100000,Petrol,Manual,1,3.91,Tata,Tiago,6
92,130000,Diesel,Manual,2,5.6,Mahindra,XUV500,9
93,42610,Petrol,Manual,1,8.2,Tata,NEXON,3
94,93790,Diesel,Manual,2,3.81,Honda,City,11
95,120000,Diesel,Manual,3,8.0,Jeep,Compass,7
96,90060,Diesel,Manual,1,11.0,KIA,SELTOS,3
97,59850,Petrol,Manual,1,9.3,KIA,SONET,2
98,160000,Diesel,Manual,1,8.45,Hyundai,Creta,8
99,100000,Diesel,Manual,1,19.76,MG,HECTOR PLUS,2
100,46710,Diesel,Manual,1,16.0,Tata,Harrier,2
101,30910,Petrol,Auto,1,15.94,MG,HECTOR,4
102,120000,Diesel,Auto,3,5.11,Audi,A4,14
103,160000,Diesel,Manual,3,6.5,Toyota,Fortuner,14
104,14140,Petrol,Manual,1,14.9,Hyundai,Verna,2
105,93000,Diesel,Manual,3,5.0,Tata,Safari Storme,9
106,94850,Diesel,Auto,2,10.0,Audi,A8L,14
107,130000,Diesel,Auto,1,11.76,Landrover,Freelander 2,11
108,76260,Petrol,Auto,1,8.85,Hyundai,VENUE,6
109,110000,Diesel,Manual,2,9.71,Tata,Harrier,6
110,10820,Petrol,Auto,1,37.4,Skoda,Kodiaq,2
111,170000,Diesel,Manual,1,3.98,Mahindra,XUV500,13
112,9730,Petrol,Manual,1,11.5,Tata,NEXON,2
113,62300,Petrol,Manual,2,1.82,Hyundai,Eon,13
114,100000,Diesel,Manual,6,1.0,Tata,Manza,14
115,52890,Petrol,Auto,3,4.85,Maruti,Baleno,8
116,130000,Diesel,Manual,3,3.0,Maruti,Swift,14
117,150000,Diesel,Manual,1,8.5,Mahindra,XUV500,8
118,140000,Diesel,Manual,2,5.42,Renault,Duster,10
119,170000,Diesel,Manual,4,4.75,Mahindra,XUV500,12
120,88990,Diesel,Manual,1,13.8,Hyundai,ALCAZAR,3
121,110000,Diesel,Manual,2,7.3,Maruti,S Cross,8
122,110000,Diesel,Auto,1,13.5,Mercedes,Benz E Class,9
123,48220,Diesel,Manual,2,11.0,Jeep,Compass,8
124,17180,Petrol,Manual,2,3.1,Maruti,Alto 800,9
125,33600,Petrol,Manual,2,1.3,Chevrolet,Beat,11
126,82170,Petrol,Manual,3,3.35,Hyundai,Verna,14
127,94400,Diesel,Manual,2,3.99,Volkswagen,Polo,11
128,250000,Diesel,Manual,1,5.45,Maruti,Swift,11
129,3420,Petrol,Manual,1,9.5,Tata,PUNCH,1
130,56380,Petrol,Auto,2,1.78,Hyundai,i10,15
131,69200,Petrol,Auto,2,3.0,Maruti,Celerio,9
132,91580,Petrol,Manual,2,9.5,Maruti,Ertiga,6
133,98440,Petrol,Manual,2,4.5,Maruti,Ertiga,11
134,110000,Petrol,Manual,1,4.0,Hyundai,NEW SANTRO,7
135,97820,Diesel,Manual,1,8.0,Ford,Ecosport,7
136,81260,Petrol,Manual,2,5.14,Maruti,Eeco,5
137,35940,Petrol,Manual,1,6.37,Tata,PUNCH,2
138,110000,Diesel,Manual,1,2.45,Mahindra,Kuv100,9
139,68020,Petrol,Manual,2,1.21,Tata,Manza,14
140,39990,Petrol,Manual,3,5.0,Renault,TRIBER,6
141,160000,Petrol,Manual,1,3.0,Maruti,Swift Dzire,11
142,40210,Petrol,Manual,1,2.1,Maruti,Alto K10,10
143,110000,Diesel,Manual,4,1.67,Maruti,Swift Dzire,12
144,75010,Diesel,Manual,2,1.79,Tata,Zest,10
145,97160,Petrol,Manual,5,1.97,Maruti,Wagon R 1.0,10
146,64910,Petrol,Manual,1,1.95,Hyundai,Eon,9
147,120000,Diesel,Manual,1,2.8,Hyundai,i20 Active,10
148,150000,Diesel,Manual,3,4.25,Maruti,Ertiga,11
149,120000,Diesel,Manual,2,4.13,Maruti,Swift Dzire,10
150,74620,Petrol,Manual,2,1.0,Hyundai,i10,14
151,80340,Petrol,Manual,3,2.3,Toyota,Etios,11
152,19910,Petrol,Manual,1,1.98,Datsun,Go,8
153,82130,Petrol,Manual,2,3.53,Maruti,Baleno,9
154,44270,Petrol,Manual,2,4.72,Hyundai,Elite i20,8
155,110000,Petrol,Manual,3,2.5,Honda,Amaze,9
156,56200,Petrol,Manual,1,1.53,Toyota,Etios Liva,14
157,66990,Diesel,Manual,2,2.9,Maruti,Ciaz,10
158,85560,Petrol,Auto,4,3.65,Hyundai,Verna,9
159,100000,Petrol,Manual,3,1.1,Hyundai,Eon,13
160,72000,Petrol,Manual,1,3.5,Maruti,Swift Dzire,9
161,48800,Petrol,Manual,1,0.65,Fiat,Grand Punto,15
162,180000,Diesel,Manual,2,1.6,Tata,Bolt,11
163,190000,Diesel,Manual,2,3.5,Maruti,Swift Dzire,9
164,85810,Petrol,Manual,2,1.25,Hyundai,i10,13
165,74250,Petrol,Manual,1,1.28,Hyundai,i10,15
166,140000,Diesel,Manual,1,1.42,Ford,Fiesta Classic,13
167,88800,Petrol,Auto,1,2.74,Maruti,Wagon R 1.0,9
168,110000,Diesel,Manual,2,5.0,Hyundai,Verna,8
169,61540,Petrol,Manual,2,1.5,Honda,Jazz,13
170,62120,Petrol,Manual,2,8.28,Maruti,Ertiga,4
171,37780,Petrol,Manual,1,2.81,Renault,Kwid,4
172,77150,Petrol,Manual,1,4.07,Maruti,New Wagon-R,4
173,38580,Petrol,Manual,1,5.75,Maruti,Baleno,4
174,56800,Petrol,Manual,3,3.78,Hyundai,NEW SANTRO,6
175,120000,Diesel,Manual,1,3.39,Maruti,Baleno,9
176,79840,Petrol,Manual,1,3.99,Maruti,New Wagon-R,6
177,29160,Petrol,Manual,1,6.4,Tata,NEXON,4
178,96740,Diesel,Manual,2,2.3,Chevrolet,Captiva,14
179,110000,Diesel,Manual,2,3.0,Maruti,Swift Dzire,10
180,24450,Petrol,Auto,1,16.5,Mahindra,XUV700,2
181,34790,Petrol,Manual,1,6.65,Tata,NEXON,4
182,110000,Diesel,Manual,2,3.66,Maruti,Ciaz,9
183,62500,Petrol,Manual,3,5.72,Honda,City,7
184,51870,Petrol,Manual,1,6.9,Maruti,Ciaz,6
185,9610,Petrol,Manual,1,4.66,Maruti,S PRESSO,3
186,78680,Diesel,Manual,2,7.0,Mahindra,XUV500,8
187,97110,Petrol,Manual,1,7.0,KIA,SONET,5
188,150000,Diesel,Manual,1,7.13,Hyundai,Creta,9
189,96000,Diesel,Manual,1,6.0,Hyundai,Creta,6
190,48400,Petrol,Auto,1,11.5,Skoda,SLAVIA,3
191,64370,Petrol,Auto,1,4.65,Tata,Tiago,6
192,30100,Diesel,Manual,1,9.76,Hyundai,VENUE,2
193,8760,Petrol,Manual,2,2.55,Mahindra,Kuv100,9
194,98570,Diesel,Manual,2,3.0,Renault,Duster,11
195,110000,Diesel,Manual,2,2.99,Mahindra,XUV500,11
196,120000,Diesel,Auto,3,8.5,Toyota,Fortuner,13
197,100000,Diesel,Manual,1,8.23,Hyundai,Creta,5
198,100000,Diesel,Manual,2,6.6,Hyundai,Creta,8
199,45940,Diesel,Manual,1,12.65,Hyundai,Creta,4
200,98540,Diesel,Auto,2,3.14,Hyundai,New Elantra,12
201,90500,Diesel,Manual,1,5.05,Maruti,Swift,6
202,80480,Petrol,Manual,1,5.67,Hyundai,GRAND I10 NIOS,3
203,8570,Petrol,Manual,1,8.0,Renault,Kiger,2
204,11820,Petrol,Manual,1,5.85,Maruti,New Wagon-R,1
205,440000,Diesel,Manual,1,6.0,Mahindra,MARAZZO,6
206,240000,Diesel,Manual,1,3.8,Toyota,Innova,14
207,37070,Diesel,Manual,1,9.3,Hyundai,VENUE,3
208,110000,Diesel,Manual,2,3.21,Ford,Ecosport,10
209,55500,Petrol,Manual,2,7.5,Maruti,Ertiga,6
210,6780,Petrol,Auto,1,19.5,MG,HECTOR PLUS,2
211,110000,Diesel,Auto,2,8.75,Hyundai,Tucson,8
212,160000,Diesel,Manual,1,11.5,MG,HECTOR,4
213,110000,Diesel,Manual,1,4.0,Renault,Captur,8
214,150000,Diesel,Manual,2,6.8,Toyota,Fortuner,12
215,43200,Diesel,Auto,1,21.52,BMW,3 Series,7
216,94520,Diesel,Manual,1,16.29,Toyota,Innova Crysta,6
217,54620,Petrol,Manual,1,6.35,Hyundai,VENUE,4
218,45150,Petrol,Manual,1,2.21,Honda,City,13
219,130000,Diesel,Manual,2,1.62,Nissan,Terrano,11
220,68830,Petrol,Manual,2,1.21,Hyundai,i10,13
221,35000,Petrol,Manual,1,2.66,Renault,Kwid,6
222,12850,Petrol,Manual,2,5.5,Hyundai,NEW I20,2
223,80310,Diesel,Manual,1,3.3,Hyundai,Elite i20,8
224,20040,Petrol,Manual,1,6.38,Maruti,Eeco,1
225,89430,Diesel,Manual,1,2.02,Tata,Zest,10
226,100000,Petrol,Manual,1,1.5,Renault,Kwid,9
227,89870,Diesel,Manual,1,1.89,Hyundai,Grand i10,11
228,1260000,Diesel,Manual,5,1.67,Maruti,Swift Dzire,11
229,56160,Petrol,Manual,2,2.99,Tata,TIGOR,7
230,86820,Petrol,Manual,1,2.0,Maruti,Alto 800,9
231,60400,Diesel,Auto,2,4.98,BMW,X1,13
232,51740,Petrol,Manual,1,1.74,Maruti,Swift,13
233,62530,Petrol,Manual,2,1.62,Hyundai,Eon,11
234,87030,Petrol,Manual,2,0.7,Chevrolet,Spark,14
235,76440,Petrol,Manual,1,1.4,Honda,City,15
236,20750,Petrol,Manual,1,6.6,Maruti,Vitara Brezza,5
237,110000,Diesel,Manual,1,2.38,Tata,Zest,8
238,150000,Petrol,Manual,1,3.3,Maruti,Swift Dzire,10
239,100000,Diesel,Manual,1,1.48,Ford,Figo Aspire,10
240,91380,Petrol,Manual,1,4.8,Maruti,Swift,6
241,110000,Diesel,Manual,1,1.72,Ford,Figo Aspire,9
242,24290,Petrol,Manual,1,4.73,Maruti,Dzire,7
243,160000,Diesel,Manual,2,2.5,Hyundai,i20 Active,10
244,25190,Petrol,Manual,1,3.5,Maruti,Celerio,8
245,110000,Diesel,Auto,3,2.5,Chevrolet,Cruze,12
246,79650,Petrol,Manual,2,1.0,Volkswagen,Passat,15
247,95430,Diesel,Manual,1,1.33,Volkswagen,Polo,15
248,110000,Petrol,Manual,1,4.6,Maruti,Swift,6
249,120000,Diesel,Manual,1,5.0,Tata,NEXON,6
250,69150,Petrol,Manual,1,1.84,Maruti,Alto K10,14
251,43380,Petrol,Manual,1,5.14,Ford,Ecosport,6
252,22930,Petrol,Auto,1,8.0,Maruti,Baleno,2
253,150000,Diesel,Manual,3,2.39,Ford,Ecosport,12
254,130000,Diesel,Manual,1,3.23,Volkswagen,Ameo,9
255,53460,Petrol,Manual,1,2.67,Hyundai,Eon,8
256,42480,Diesel,Manual,1,12.47,KIA,CARENS,1
257,110000,Petrol,Manual,2,1.15,Maruti,Swift,15
258,97600,Petrol,Manual,1,3.66,Hyundai,i20 Active,10
259,42810,Diesel,Manual,2,7.5,Tata,NEXON,5
260,78500,Diesel,Manual,1,5.13,Hyundai,Elite i20,8
261,140000,Diesel,Manual,2,6.19,Jeep,Compass,7
262,87880,Diesel,Manual,2,5.39,Mahindra,TUV300,8
263,20400,Petrol,Manual,1,8.49,Hyundai,VENUE,2
264,240000,Diesel,Manual,1,5.2,Honda,WR-V,8
265,110000,Diesel,Manual,1,4.51,Hyundai,Elite i20,9
266,260000,Diesel,Manual,1,4.0,Maruti,S Cross,10
267,110000,Diesel,Manual,2,3.51,Renault,Duster,9
268,59930,Petrol,Manual,2,11.0,Skoda,KUSHAQ,2
269,63910,Diesel,Manual,1,4.55,Ford,Figo Aspire,7
270,77840,Petrol,Auto,2,4.5,Toyota,YARIS,7
271,21170,Diesel,Manual,1,10.0,Mahindra,Bolero,2
272,100000,Diesel,Manual,1,14.47,Hyundai,ALCAZAR,3
273,65310,Diesel,Manual,1,9.87,Tata,Harrier,6
274,270000,Diesel,Manual,1,8.64,Tata,Harrier,6
275,130000,Diesel,Manual,1,10.31,Jeep,Compass,7
276,150000,Diesel,Manual,1,10.5,MG,HECTOR,4
277,29520,Diesel,Manual,1,19.0,MG,HECTOR,1
278,120000,Petrol,Manual,3,4.5,Honda,City,9
279,210000,Petrol,Manual,1,3.4,Maruti,Baleno,8
280,110000,Petrol,Manual,2,7.0,Hyundai,Creta,9
281,100000,Diesel,Manual,3,2.57,Hyundai,i20,11
282,110000,Diesel,Manual,3,1.5,Honda,Amaze,12
283,51650,Petrol,Manual,3,1.55,Hyundai,Eon,11
284,16720,Petrol,Manual,1,6.99,Maruti,Baleno,2
285,150000,Petrol,Manual,1,4.25,Maruti,Ciaz,8
286,68940,Petrol,Manual,2,1.97,Maruti,Alto 800,10
287,82080,Diesel,Manual,2,6.25,Hyundai,Verna,7
288,43780,Diesel,Auto,1,16.85,Tata,Harrier,2
289,89170,Diesel,Manual,1,2.0,Ford,Figo Aspire,10
290,75870,Petrol,Manual,1,3.0,Volkswagen,Polo,10
291,110000,Petrol,Manual,1,1.82,Maruti,Swift Dzire,15
292,34120,Petrol,Manual,3,1.38,Tata,Nano,11
293,23660,Petrol,Manual,1,6.69,Tata,TIGOR,3
294,130000,Diesel,Manual,3,2.82,Maruti,Swift,11
295,94150,Petrol,Manual,4,1.77,Hyundai,i20,12
296,33010,Petrol,Manual,1,4.86,Renault,TRIBER,5
297,70830,Petrol,Manual,1,2.89,Hyundai,NEW SANTRO,7
298,89710,Petrol,Manual,3,1.35,Hyundai,Eon,13
299,41140,Petrol,Manual,1,3.81,Maruti,IGNIS,7
300,110000,Diesel,Manual,3,0.69,Ford,Figo,15
301,100000,Petrol,Manual,2,1.94,Maruti,Ritz,12
302,93880,Diesel,Manual,2,1.8,Renault,Duster,13
303,79740,Petrol,Manual,1,1.3,Honda,City,15
304,120000,Petrol,Manual,3,3.14,Maruti,Ciaz,10
305,49970,Petrol,Manual,2,1.38,Maruti,Wagon R 1.0,13
306,190000,Diesel,Manual,1,5.0,Tata,NEXON,4
307,87070,Petrol,Manual,2,4.45,Maruti,Swift,7
308,180000,Diesel,Manual,4,1.11,Volkswagen,Polo,14
309,91540,Petrol,Manual,3,0.78,Hyundai,i10,15
310,190000,Diesel,Manual,1,6.98,Tata,NEXON,4
311,4450,Petrol,Manual,2,5.53,Maruti,Eeco,2
312,88350,Diesel,Manual,2,3.91,Honda,City,10
313,88780,Petrol,Manual,3,2.94,Maruti,Wagon R 1.0,7
314,24090,Petrol,Manual,1,3.58,Mahindra,KUV 100 NXT,8
315,130000,Diesel,Manual,3,3.13,Hyundai,Grand i10,8
316,130000,Diesel,Manual,2,2.09,Maruti,Ritz,11
317,400000,Diesel,Manual,1,2.5,Toyota,Etios,9
318,100000,Petrol,Manual,2,1.51,Maruti,Alto K10,13
319,130000,Diesel,Manual,2,5.85,Hyundai,Creta,8
320,79230,Diesel,Manual,1,4.55,Mahindra,Thar,7
321,56400,Petrol,Manual,1,3.85,Volkswagen,Polo,11
322,89750,Petrol,Manual,4,1.15,Maruti,Ritz,14
323,140000,Diesel,Manual,2,3.3,Hyundai,Elite i20,10
324,29090,Petrol,Manual,1,5.41,Ford,FREESTYLE,5
325,130000,Petrol,Auto,1,7.44,Hyundai,Creta,7
326,120000,Diesel,Manual,3,3.03,Maruti,Ciaz,10
327,10140,Petrol,Auto,1,33.99,Audi,A4,1
328,140000,Diesel,Manual,1,8.0,Hyundai,Creta,6
329,100000,Diesel,Manual,2,4.5,Maruti,S Cross,7
330,120000,Diesel,Auto,3,4.6,Audi,A6,14
331,76920,Diesel,Manual,1,11.5,Mahindra,Thar,4
332,92760,Diesel,Manual,2,7.4,Mahindra,BOLERO NEO,3
333,110000,Diesel,Manual,3,3.29,Hyundai,Verna,11
334,65710,Petrol,Manual,1,8.16,Maruti,BREZZA,3
335,94610,Diesel,Auto,5,3.27,Ssangyong,Rexton,12
336,60890,Diesel,Manual,1,18.16,MG,HECTOR PLUS,3
337,49900,Petrol,Manual,1,8.83,Hyundai,VENUE,3
338,170000,Diesel,Manual,2,3.55,Maruti,Ciaz,9
339,60350,Diesel,Manual,2,5.24,Toyota,Innova,12
340,150000,Diesel,Manual,1,12.9,Toyota,Innova Crysta,8
341,190000,Diesel,Manual,1,10.5,Toyota,Innova Crysta,8
342,50190,Petrol,Manual,1,10.99,Maruti,XL6,2
343,67370,Petrol,Manual,1,10.0,Maruti,BREZZA,2
344,100000,Diesel,Manual,1,10.0,Jeep,Compass,6
345,35440,Diesel,Manual,1,17.5,MG,HECTOR PLUS,2
346,67100,Diesel,Auto,3,14.1,Audi,A3,10
347,81940,Diesel,Auto,2,5.08,Maruti,Vitara Brezza,9
348,93560,Diesel,Manual,1,10.5,KIA,SONET,3
349,79440,Diesel,Auto,2,10.5,Audi,Q5,12
350,31150,Petrol,Manual,1,6.5,Tata,ALTROZ,4
351,72970,Diesel,Auto,2,16.59,Hyundai,ALCAZAR,3
352,92310,Petrol,Manual,1,4.69,Honda,Amaze,6
353,84390,Petrol,Manual,1,2.28,Maruti,Alto K10,10
354,75390,Petrol,Manual,2,3.99,Volkswagen,Polo,6
355,35950,Petrol,Manual,1,6.4,Honda,Amaze,2
356,66060,Petrol,Manual,1,3.09,Tata,Tiago,7
357,20370,CNG,Manual,1,7.61,Tata,NEXON,2
358,36180,Petrol,Manual,1,6.86,Hyundai,VENUE,3
359,95730,Diesel,Manual,1,6.93,Jeep,Compass,8
360,32600,Petrol,Manual,2,4.25,Hyundai,Elite i20,9
361,19330,Petrol,Manual,1,6.01,Tata,ALTROZ,4
362,96570,Diesel,Manual,2,2.81,Hyundai,Grand i10,9
363,72000,Petrol,Manual,1,3.23,Maruti,Alto,3
364,22520,Petrol,Manual,1,10.8,Maruti,Grand Vitara,1
365,71510,Diesel,Manual,2,4.01,Skoda,Rapid,8
366,54930,Petrol,Manual,1,3.15,Maruti,Swift Dzire,11
367,69580,Petrol,Manual,2,4.8,Maruti,Baleno,6
368,24840,Petrol,Auto,2,5.01,Tata,PUNCH,3
369,50740,Petrol,Manual,1,3.18,Renault,Kwid,4
370,52360,Petrol,Manual,2,5.78,Hyundai,NEW I20,5
371,69810,Petrol,Manual,1,4.79,Tata,ALTROZ,5
372,42830,Petrol,Manual,1,5.9,Tata,ALTROZ,4
373,150000,Diesel,Manual,2,6.27,Hyundai,Verna,7
374,97130,Petrol,Manual,1,2.0,Renault,Kwid,9
375,170000,Petrol,Manual,1,7.99,KIA,SELTOS,6
376,160000,Diesel,Manual,1,11.1,Mahindra,Scorpio,5
377,140000,Diesel,Manual,3,2.0,Mahindra,Scorpio,14
378,33920,Petrol,Manual,1,3.27,Maruti,Wagon R 1.0,7
379,69610,Petrol,Manual,4,2.23,Maruti,Wagon R 1.0,10
380,140000,Diesel,Manual,3,5.62,Hyundai,Creta,9
381,92930,Petrol,Manual,2,2.67,Maruti,Alto 800,8
382,290000,Diesel,Manual,1,5.16,Maruti,Dzire,7
383,49000,Petrol,Manual,2,4.15,Tata,Tiago,3
384,110000,Diesel,Manual,2,5.44,Tata,NEXON,7
385,160000,Diesel,Manual,2,4.69,Tata,Safari Storme,11
386,76150,Diesel,Manual,1,7.58,Mahindra,TUV300,5
387,180000,Diesel,Manual,5,5.72,Toyota,Innova,12
388,39110,Petrol,Manual,1,4.21,Renault,Kwid,4
389,88810,Diesel,Manual,2,3.65,Mahindra,NUVOSPORT,9
390,58880,Petrol,Manual,1,7.5,Tata,NEXON,3
391,34620,Petrol,Manual,1,6.06,Maruti,New Wagon-R,3
392,40620,Petrol,Manual,1,6.89,Toyota,URBAN CRUISER,5
393,10150,Petrol,Manual,1,8.15,Maruti,BREZZA,1
394,100000,Diesel,Manual,3,3.41,Mahindra,XUV500,13
395,55110,Diesel,Auto,1,22.0,Jeep,Compass,3
396,220000,Diesel,Manual,1,6.99,Nissan,Terrano,7
397,36830,Petrol,Manual,2,3.1,Maruti,Wagon R 1.0,11
398,9480,Petrol,Auto,1,8.7,Maruti,FRONX,2
399,170000,Petrol,Manual,3,1.42,Skoda,Fabia,13
400,140000,Diesel,Manual,2,3.05,Nissan,Terrano,11
401,45900,Petrol,Manual,1,2.8,Renault,Kwid,9
402,51580,Petrol,Manual,2,2.5,Maruti,Alto K10,10
403,62200,Diesel,Manual,1,6.5,Ford,Ecosport,7
404,130000,Diesel,Manual,1,1.69,Maruti,Swift,15
405,71930,Petrol,Manual,1,4.2,Maruti,Dzire,7
406,42650,Petrol,Manual,1,4.75,Tata,Tiago,6
407,47440,Petrol,Manual,2,3.76,Maruti,New Wagon-R,5
408,65550,Diesel,Manual,1,6.8,Hyundai,Creta,10
409,31060,Petrol,Manual,1,5.5,Tata,ALTROZ,3
410,33170,Petrol,Manual,1,4.5,Hyundai,Grand i10,6
411,65480,Diesel,Auto,2,9.5,Hyundai,Creta,7
412,48210,Petrol,Manual,1,5.7,Hyundai,Elite i20,9
414,52300,Diesel,Manual,1,9.5,Hyundai,Creta,6
415,63220,CNG,Manual,1,7.6,Mahindra,Bolero,6
416,83870,Diesel,Manual,2,4.05,Honda,Amaze,11
417,73370,Petrol,Manual,2,1.52,Chevrolet,Beat,14
418,80330,Petrol,Manual,2,4.75,Maruti,Baleno,7
419,110000,Diesel,Manual,1,5.28,Maruti,Swift Dzire,12
420,16230,Petrol,Manual,2,2.75,Maruti,Alto 800,9
421,70860,Petrol,Manual,2,4.55,Hyundai,Grand i10,8
422,130000,Diesel,Manual,1,6.5,Hyundai,i20 Active,7
423,76400,Diesel,Manual,1,3.72,Honda,Amaze,12
424,54850,Petrol,Manual,1,6.5,Hyundai,i20 Active,8
425,25110,Petrol,Manual,1,8.05,Tata,NEXON,3
426,51890,Petrol,Manual,1,4.98,Hyundai,NEW SANTRO,6
427,77010,Petrol,Manual,1,4.53,Hyundai,Xcent,11
428,48570,Diesel,Manual,2,7.74,Renault,Captur,7
429,71420,Petrol,Manual,1,2.3,Hyundai,i10,13
