,KM Driven,Fuel Type,Transmission Type,Ownership,Price(in Lakhs),Brand,Model_Only,Car Age
6711,84210,Petrol,Manual,1,3.74,Maruti,Wagon R 1.0,9
6712,140000,Diesel,Auto,4,3.06,BMW,X1,14
6713,41680,Petrol,Manual,1,11.5,MG,ASTOR,2
6714,110000,Diesel,Manual,2,9.5,Toyota,Innova Crysta,8
6715,76190,Petrol,Auto,1,11.01,Honda,City,3
6716,90590,Diesel,Manual,3,10.7,Mahindra,Scorpio,8
6717,79310,Diesel,Manual,1,13.75,Tata,Safari,4
6718,30420,Diesel,Auto,1,17.0,KIA,SELTOS,2
6719,110000,Diesel,Manual,3,7.09,Maruti,Ertiga,7
6720,100000,Diesel,Auto,1,24.0,MG,GLOSTER,5
6721,94070,Diesel,Manual,1,20.0,Toyota,Innova Crysta,3
6722,66810,Petrol,Manual,3,1.1,Maruti,Alto K10,15
6723,78980,Petrol,Auto,2,3.2,Renault,Kwid,9
6724,87590,Diesel,Manual,1,13.66,MG,HECTOR PLUS,4
6725,150000,Petrol,Manual,3,2.7,Maruti,Wagon R 1.0,14
6726,48230,Petrol,Manual,1,6.14,Renault,Kiger,2
6727,170000,Diesel,Manual,2,2.36,Mahindra,Quanto,13
6728,29340,Diesel,Auto,1,25.59,Tata,Harrier,2
6729,110000,Diesel,Manual,1,5.0,Honda,BR-V,8
6730,19090,Diesel,Auto,1,5.3,Maruti,Dzire,8
6731,36110,Petrol,Manual,3,0.93,Hyundai,i20,15
6732,42730,Diesel,Manual,2,3.0,Hyundai,Verna,14
6733,130000,Diesel,Manual,2,3.35,Mahindra,XUV500,12
6734,10140,Petrol,Auto,1,5.0,Tata,TIAGO NRG,4
6735,77610,Diesel,Manual,1,3.5,Maruti,Swift,11
6736,160000,Petrol,Manual,1,4.71,Hyundai,i20 Active,8
6737,70710,Petrol,Manual,1,5.14,Honda,Jazz,8
6738,42010,Petrol,Manual,2,4.0,Maruti,S PRESSO,4
6739,120000,Diesel,Manual,2,5.79,Honda,BR-V,9
6740,120000,Diesel,Manual,1,9.99,Maruti,Ertiga,8
6741,53530,Diesel,Manual,1,10.63,Nissan,Kicks,5
6742,59950,Petrol,Manual,1,4.08,Hyundai,Grand i10,7
6743,5110,Petrol,Manual,1,12.84,Hyundai,Verna,1
6744,85110,Petrol,Manual,1,6.12,Hyundai,GRAND I10 NIOS,3
6745,41090,Petrol,Manual,1,5.93,Maruti,Baleno,2
6746,110000,Petrol,Manual,2,4.35,Tata,TIGOR,6
6747,120000,Petrol,Manual,3,1.43,Honda,Jazz,15
6748,260000,Diesel,Manual,1,6.93,Tata,NEXON,8
6749,93870,Diesel,Manual,2,6.18,Hyundai,AURA,5
6750,86380,Diesel,Auto,3,3.55,Volkswagen,Passat,13
6751,180000,Diesel,Manual,2,4.99,Nissan,Terrano,10
6752,76470,Petrol,Manual,1,3.26,Hyundai,i10,9
6753,98000,Petrol,Auto,2,3.59,Hyundai,Verna,9
6754,110000,Diesel,Manual,4,2.3,Maruti,Swift Dzire,11
6755,220000,Diesel,Manual,2,2.1,Hyundai,Xcent,8
6756,29030,Petrol,Manual,2,3.88,Ford,New Figo,6
6757,210000,Diesel,Manual,1,3.06,Mahindra,XUV500,12
6758,140000,Diesel,Manual,2,2.69,Ford,Ecosport,10
6759,77660,Petrol,Manual,1,3.5,Maruti,Ritz,10
6760,91130,Petrol,Manual,1,2.2,Honda,Brio,12
6761,73200,Diesel,Manual,3,2.85,Toyota,Etios,11
6762,130000,Petrol,Manual,1,3.52,Maruti,Swift,10
6763,97770,Petrol,Manual,2,6.5,Honda,City,8
6764,81380,Petrol,Manual,4,1.18,Hyundai,i10,15
6765,120000,Petrol,Auto,2,5.24,Skoda,Octavia,10
6766,82080,Petrol,Manual,2,1.78,Maruti,Alto 800,10
6767,110000,Diesel,Manual,3,2.3,Maruti,Swift,13
6768,140000,Diesel,Manual,1,4.04,Mahindra,XUV500,8
6769,78280,Petrol,Auto,1,3.95,Ford,Ecosport,7
6770,82450,Diesel,Manual,3,2.86,Nissan,Terrano,9
6771,120000,Diesel,Manual,2,2.0,Hyundai,Xcent,10
6772,69250,Petrol,Manual,1,7.8,Maruti,BREZZA,2
6773,110000,Petrol,Manual,3,1.56,Volkswagen,Polo,13
6774,29940,Petrol,Manual,1,3.66,Tata,TIAGO NRG,6
6775,91280,Diesel,Manual,2,3.13,Hyundai,Verna,12
6776,200000,Diesel,Manual,1,3.5,Maruti,Swift Dzire,10
6777,30770,Petrol,Manual,1,6.38,Hyundai,VENUE,5
6778,120000,Petrol,Manual,3,1.35,Maruti,Wagon R Stingray,11
6779,68370,Petrol,Manual,1,5.35,Maruti,Baleno,8
6780,88960,Diesel,Manual,2,4.38,Toyota,Innova,10
6781,76210,Diesel,Manual,2,3.04,Maruti,Swift Dzire,10
6782,73860,Diesel,Manual,1,3.2,Maruti,Swift Dzire,10
6783,56730,Petrol,Manual,3,3.04,Maruti,Swift,10
6784,86120,Diesel,Manual,1,1.5,Renault,Pulse,13
6785,50190,Petrol,Manual,1,1.55,Maruti,Alto K10,12
6786,160000,Diesel,Manual,1,4.46,Maruti,Baleno,7
6787,89680,Diesel,Manual,3,4.5,Hyundai,New Elantra,8
6788,55410,Petrol,Manual,1,3.79,Hyundai,i20 Active,9
6789,110000,Diesel,Manual,1,2.43,Tata,Bolt,10
6790,160000,Diesel,Manual,1,4.99,Maruti,Dzire,7
6791,140000,Petrol,Manual,1,0.87,Maruti,Zen Estilo,15
6792,99540,Diesel,Manual,1,10.25,Mahindra,XUV500,7
6793,87000,Diesel,Manual,1,4.5,Hyundai,Elite i20,10
6794,26260,Petrol,Manual,1,0.45,Maruti,800,15
6795,52380,Petrol,Manual,1,3.7,Ford,Ecosport,11
6796,150000,Diesel,Manual,1,1.18,Tata,Indigo ECS,11
6797,9030,Petrol,Manual,2,5.37,Maruti,Baleno,3
6798,48040,Petrol,Manual,2,1.3,Chevrolet,Beat,10
6799,35840,Petrol,Manual,1,4.54,Ford,FREESTYLE,6
6800,83750,Petrol,Manual,3,0.87,Ford,Figo,15
6801,86610,Petrol,Manual,2,5.5,Tata,NEXON,4
6802,110000,Petrol,Manual,1,5.0,Honda,City,9
6803,65459,Diesel,Manual,1,1.2,Tata,Indica Vista,11
6804,88170,Diesel,Manual,1,8.75,Mahindra,Scorpio,8
6805,150000,Petrol,Manual,1,3.97,Renault,TRIBER,6
6806,110000,Diesel,Manual,2,4.35,Maruti,Vitara Brezza,8
6807,18850,Petrol,Auto,1,3.99,Renault,Kwid,5
6808,5780,Petrol,Manual,1,7.95,Maruti,Dzire,1
